REGION,PROVINCE,ADDRESS,NAME OF FACILITY,"OWNERSHIP (DOH Retained, LGU, GOVERNMENT & PRIVATE)",CLASSIFICATION (Hospital-based / non-hospital based) ,TESTING PROCEDURE,Brand,"Date of Submission of Application & Self-Assessment Tool
(start date)
",STAGE,"REMARKS
",LTO VALIDITY,LICENSED NUMBER,With POOLED testing certificate,HEAD OF LABORATORY,EMAIL ADDRESS,CONTACT NUMBER,INSPECTORS / ASSESORS,,,,,,,,,,,,,
CARAGA,Agusan Del Sur,Mun. of Prosperidad,Democrito O. Plaza Memorial Hospital,LGU,Hospital Based,rRT PCR,,,5,NEW,01/15/21 - 12/31/21,16-0005-2021-CT-1,,Dr. Raul Venerando Atupan,dopmhmolecularlab@gmail.com,,"Engr. Lui, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 6,Aklan,Mun. of Kalibo,Dr. Rafael S. Tumbokon Memorial Hospital,LGU,Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,06-0448-21-H2-1,,Dr. Marianette Noelle Bieren,drstmh.covid19lab@gmail.com,2682606,"Dr. Aguilar, Mr. Malbacias, Ar. Leonado, and Ms. Padua ",,,,,,,,,,,,,
Region 5,Albay,"Legazpi City, Albay",Bicol Regional Diagnostic and Reference Laboratory,GOVERNMENT,Non-Hospital Based,rRT PCR,,SNL,5,RENEWED,01/01/21 - 12/31/21,05-0036-2021-CT-1,,Dr. Raymundo B. Ibbarientos,brdrl.doh@gmail.com,(052) 742 2600,,,,,,,,,,,,,,
Region 6,Antique,Mun. of San Jose,Antique Molecular Laboratory,GOVERNMENT,Hospital Based,rRT PCR,,"April 12, 2021",3,FOR COMPLIANCE,,,,Dr. Perez,asmgh19@yahoo.com,63917 329 1217,"Dr. Hautea, Ms. Toledo, Ms. Bato & Engr. Reyes",,,,,,,,,,,,,
Region 3,Bataan,"Manahan St, Tenejero Balanga City",Bataan General Hospital,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,03-0247-21-H3-2,,Dr. Jefferson B. Mendoza,bghmcpcrlab@gmail.com,(047) 237 2275 loc 415 loc 519,,,,,,,,,,,,,,
Region 3,Bataan,"Manahan St, Tenejero Balanga City",Bataan General Hospital,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,03-0247-21-H3-2,,Dr. Jefferson B. Mendoza,bghmcpcrlab@gmail.com,(047) 237 2275 loc 415 loc 519,,,,,,,,,,,,,,
Region 3,Bataan,Mun. of Mariveles,Mariveles District Hospital,GOVERNMENT,Hospital Based,rRT PCR,,,5,NEW,04/15/21 - 12/31/21,,,Dr. Santos,mdh@bataan.gov.ph,,"Mr. Olmedo, Ar. Leonado, Ms. Fermo, Ms. Padua, Ms. Foronda & Engr. Salanga",,,,,,,,,,,,,
Region 3,Bataan,Mun. of Mariveles,Mariveles District Hospital,GOVERNMENT,Hospital Based,Cartridge-based PCR,GeneXpert,,4,For Proficiency Testing,,,,Dr. Santos,mdh@bataan.gov.ph,,"Ar. Leonado, Ms. Fermo, Mr. Olmedo",,,,,,,,,,,,,
Region 4A,Batangas,"Bihi Road, Kumintang Ibaba, Batangas",Batangas Medical Center,DOH Retained,Hospital Based,Cartridge-based PCR,GeneXpert,,5,RENEWED,01/01/21 - 12/31/21,4A-0304-21-H3-1,,Dr. Anacleta P. Valdez,batmcxpertxpresscovidlab@gmail.com,(043) 740 8307 loc 1099,,,,,,,,,,,,,,
Region 4A,Batangas,"Bihi Road, Kumintang Ibaba, Batangas",Batangas Medical Center,DOH Retained,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0304-21-H3-1,,Dr. Anacleta P. Valdez,batmcmolecularlab@gmail.com,(043) 740 8307 loc 1093,,,,,,,,,,,,,,
Region 4A,Batangas,"1 President Jose P. Laurel Hwy, Tanauan, 4232 Batangas",Daniel O. Mercado Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0336-21-H2-2,,Dr. Michele Sia Hernandez -Diwa,coo.exesec@dmmcinc.com / customer-service@dmmcinc.com,(043) 778 1810,,,,,,,,,,,,,,
Region 4A,Batangas,"JP Laurel Highway, Mataas na lupa, Lipa City Batangas",Mary Mediatrix Medical Center,PRIVATE,Hospital Based,rRT PCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0306-21-H3-2,,Dr. Anacleta P. Valdez,admin@mmmc.ph,(043) 773 6800,,,,,,,,,,,,,,
Region 4A,Batangas,Batangas City,PRC- Batangas Chapter Molecular Laboratory,PRIVATE,Non-Hospital Based,rRT pCR,,,5,RENEWED,01/01/21 - 12/31/21,4A-0032-2021-CT-2,,,apv.502013mmga@gmail.com,(043) 723 3027,"Dr. Bonagua, Ms. Jessa Toledo, Ms. Bato, Ms. Casagan & Engr. Reyes",,,,,,,,,,,,,
Region 4A,Batangas,Lipa City,Ospital ng Lipa,LGU,Hospital Based,rRT PCR,,"May 19, 2020",3,FOR COMPLIANCE,,,,,,,,,,,,,,,,,,,,
