Timestamp,Email Address,Region,Province,City/ Municipality, Name of Laboratory,Type of Ownership,Type of Testing,Zoning Catchment Area (province/city/municipality) + total specimen per area per day (i.e. Rizal-50),Operating Hours per day,Operating Days,Declared turnaround time from specimen receipt to results release (in hours),Cut off time,"Actual Maximum Operational Capacity per day (# of samples than can be tested  per day-based on available machine, HR, operating hours, etc.  i.e. 1000)","Maximum number of samples that can be processed per day (based on available machine, HR, supplies, operating hours, etc. i.e. 1000)",Status of Laboratory Operational Capacity,Factors Affecting Current Operational Capacity,Number of Operational Extraction Machine ,Compatible Specimen Collection Kit to Extraction Machines,Number of Sansure SSR needed per day ,Number of VTM needed per day,Compatible DOH Procured Automated Extraction Kit to Extraction Machine,Number of Automated Extraction Kit needed per day,"Maximum Automated Extraction Output Per Day (maximum number of samples extracted per day based on available machine, HR, operating hours, etc.)","Current Automated Extraction Output per day (actual number of samples extracted per day based on available machine, HR, supplies, operating hours, etc.)",Number of Manual Extraction Kit needed per day,"Maximum Manual Extraction Output Per Day (maximum number of samples that can be extracted per day based on available machine, HR, operating hours, etc.)","Current Manual Extraction Output per day (current number of samples that can be extracted per day based on available machine, HR, supplies, operating hours, etc.)",Factors Affecting Extraction Output ,Operational PCR Machines,Number of PCR Kits needed per day,"Maximum PCR Output per day (maximum samples processed per day based on available machine, HR, operating hours, etc.)","Current PCR Output per day (current samples  processed per day based on available machine, HR, supplies, operating hours, etc.)",Type of Cartridge-based RT-PCR Machine,Type of Cartridged-based Modules,Total Operational Machine Modules (numeric value),Total number of Genexpert cartridges needed per day (numeric value),Total number of GeneXpert cartridges needed per month (numeric value),Other Requirements Prior to Acceptance of Samples,Other Laboratory Needs,Laboratory Contact Person,Contact Number (For DOH only),Specimens Collected,Preferred DOH Procured Manual Extraction Kit ,Brand of PCR Machines,Compatible DOH Procured PCR Kits to PCR Machines,Brand of RNA Extraction Machine,Testing output relative to capacity (number of samples tested/ declared maximum number of samples that can be processed) x 100 ,Positive Control Failure (No of runs in a day affected by a positive control failure),Internal Control Failure (No. of samples released with invalid result/ total number of samples tested for the day x 100),Negative Control Failure (No. of runs in a day affected by negative control failure),Declared turnaround time from specimen receipt to results release (in hours),Maximum Machine Operational Capacity [total samples per run x number of runs per day x total machines (separate RNA extraction from RT PCR machines i.e. 400; 500)],Total samples tested last week (from Mon to Sun),Total Cartridged-based samples tested per day
3/29/2021 13:56:00,sanmigueltestinglab@betterworld.ph,NCR,Metro Manila,Quezon City,San Miguel Foundation Testing Laboratory,Private,RT-PCR,Metro Manila,16 hours,6 days,48 hours,,,,,,2,Sansure SSR,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2021 14:14:39,dmmcpcrlab2@gmail.com,IV-A,BATANGAS,TANAUAN CITY,DANIEL O. MERCADO MEDICAL CENTER,Private,RT-PCR,"BATANGAS-35, NCR-25, LAGUNA-8, CAVITE-1, QUEZON-1",16 hours,6 days with holidays,48 hours,11:00 AM,192,70,Average/Manageable,"SHIFTING SCHEDULE, MANPOWER, SAMPLE VOLUME",2,Sansure SSR,70,N/A,N/A,2,192,70,N/A,N/A,N/A,MACHINE SPECIFICATIONS,2,4,192,70,N/A,N/A,N/A,N/A,N/A,"COMPLETE CIF/LINELIST, TRIPLE PACKAGING, PROPER LABELING",N/A,OLIVER R. LUBIANO,09233012541,,,,,,,,,,,,,
3/29/2021 14:20:09,pasigmolecularlab@gmail.com,NCR,Metro Manila,Pasig,Pasig City Children's Hospital,LGU Owned,RT-PCR,Pasig- 850,12 hours,6 days,48 hours,7pm,500,850,Increase,Surge of samples,2,VTM,,200,,850,850,850,,,,Surge of samples,2,20,500,850,,,,,,,,Mc Henry A. Vega,,,,,,,,,,,,,,
3/29/2021 14:22:02,wvmcsnl@yahoo.com,VI,Iloilo,ILOILO CITY,WESTERN VISAYAS MEDICAL CENTER,DOH Owned,RT-PCR,WESTERN VISAYAS (REGION 6),24 hours,7 days with holidays,48 hours,5:00PM FOR RECEIVING OF SAMPLES,1200,600,Average/Manageable,Unavailability of Reagents and supply,6,VTM and SSR,0,300,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables, MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit",2,5,400,3,650,400,lack of consumables,6,"15 kits SSR, 10 kits BGI",1200,800,,,,,,Collection of samples must be OPS and NPS,,Cecilia E. Resol,09173157654,,,,,,,,,,,,,
3/29/2021 14:23:29,boholpcrlaboratory@gmail.com,VII,Bohol,Tagbilaran City,Bohol Containerized PCR Laboratory,Other Government Agency,RT-PCR,Bohol-94,8 hours,7 days with holidays,48 hours,8:00 AM,180,94,Decrease,Number of samples received and availability of reagents,No Extraction Machine,VTM and SSR,180,180,Manual extraction,0,0,0,2,180,94,Number of samples received and availability of reagents,2,2,180,94,None,None,0,0,0,Complete info in CIF and proper specimen packaging,,Dr. Cesar Tomas Lopez,09496091784,,,,,,,,,,,,,
3/29/2021 14:29:22,pshpcrcb@gmail.com,VII,CEBU,CEBU CITY,"Perpetual Succour Hospital of Cebu, Inc",Private,RT-PCR and Other Cartridge based,Cebu City-20,8 hours,7 days with holidays,72 hours,7 AM,289,20,Average/Manageable,,4,VTM,,20,ROCHE MagnaPure96,1,286,15,1,48,15,,2,1,282,15,Biofire,Two placer,,n/a,n/a,,,,09499895356,,,,,,,,,,,,,
3/29/2021 14:34:24,gcgmhmolecularlab2020@gmail.com,VII,BOHOL,TAGBILARAN CITY,GOV. CELESTINO GALLARES MEMORIAL HOSPITAL MOLECULAR LABORATORY,DOH Owned,RT-PCR,350,8 hours,7 days with holidays,48 hours,11:00 AM,350,350,Average/Manageable,Number of PCR Machines,1,VTM and SSR,350,350,not applicable,0,0,0,0,0,0,none,2,350,350,350,none,none,0,0,0,Complete RITM and CIF forms,none,"Dr. Joseph Antoine F. Chatto, DPSP",,,,,,,,,,,,,,
3/29/2021 14:36:50,mmtobias@themedicalcity.com,NCR,Rizal,Pasig,The Medical City -Ortigas,Private,RT-PCR and GeneXpert,Pasig-250,16 hours,7 days with holidays,24 hours,"4am, 1pm and 3pm",800,300,Increase,Manpower shortage,2,VTM,,300,,10,800,250,Qiagen 250 viral RNA 1-2: Roche Hi Pure 3kits ,800,300,Repeat runs,3,10-12kits,800,250,Cepheid GeneXpert,Four placer,2,4,100,Complete documents and proper handling of specimen,,Dr. Rose Lou Marie C. Agbay/ Maria Luisa M. Tobias,8 988-1000 local 6125,,,,,,,,,,,,,
3/29/2021 14:43:30,molecularlab@dlsmc.ph,NCR,Metro Manila,Quezon City,De Los Santos Medical Center,Private,RT-PCR,NCR-61%,16 hours,7 days with holidays,24 hours,5:00 pm,400,300,Increase,None,No Extraction Machine,Sansure SSR,300 tests,300 pcs,,,,,,,,,1,300 tests,400,300,,,,,,,,Marie Joy Mababa,09950268844,,,,,,,,,,,,,
3/29/2021 14:45:24,brendalucas1216@yahoo.com,XI,DAVAO DEL SUR,DAVAO,SOUTHERN PHILIPPINES MEDICAL CENTER,DOH Owned,RT-PCR and Other Cartridge based,"DAVAO REGIONS -500, SPMC-300",24 hours,7 days with holidays,48 hours,,1000,500-700,Average/Manageable,HOLIDAYS,2,VTM and SSR,500,200,"Thermo Scientific Magmax Extraction kit, Kingfisher with consumables, MGI Easy Magnetic Beads Virus DNA/RNA Extration Kit",4,800,700,2,100,55,,8,34,1000,500-800,Biofire,,,,,CDRS format linelist soft copy,,Brenda Lucas,09177031216,,,,,,,,,,,,,
3/29/2021 14:50:01,dwh.virology@gmail.com,VIII,LEYTE,TACLOBAN,DIVINE WORD HOSPITAL,Private,RT-PCR,N/A,16 hours,7 days with holidays,48 hours,2 PM,500,150,Decrease,LGU SWABS DECREASED DUE TO NO SWABBING OF LSI,2,VTM,N/A,150,MAG-BIND RNA EXTRACTION KIT,5,500,150,N/A,N/A,N/A,N/A,2,2,500,150,N/A,N/A,N/A,N/A,N/A,COMPLETELY FILLED OUT REQUEST AND CIF,,RAZEL AIZA B. PEDROSA,09655529198,,,,,,,,,,,,,
3/29/2021 14:50:31,cmzmoleculardiagnosticslab@gmail.com,IX,Zamboanga Del Sur,Zamboanga City,Ciudad Medical Zamboanga Molecular Diagnostics LABORATORY,Private,RT-PCR,Zamboanga City -48,8 hours,7 days with holidays,48 hours,5 pm,88,48,Average/Manageable,N/A,1,VTM,N/A,50,N/A,2 BOXES,88,48,1 BOX,88,48,N/A,1,2 BOXES,88,48,Others,N/A,N/A,N/A,N/A,"CIF, Linelist, and complete information in a specimens",N/A,GENARD MENDAÑA,09777974250,,,,,,,,,,,,,
3/29/2021 14:50:36,bmcmolecularlab@yahoo.com,III,Bulacan,Malolos,Bulacan Medical Center- RT- PCR,LGU Owned,RT-PCR,Bulacan- 100,12 hours,7 days with holidays,48 hours,,192,180,Increase,,1,,,125,,1 box,96,96,2 box,192,192,,1,2 kits,192,180,,,,,,,,Michaella B Sayo,09228449113,,,,,,,,,,,,,
3/29/2021 14:51:05,kccrisostomo@sehi.ph,XII,SOUTH COTABATO,GENERAL SANTOS CITY,ST ELIZABETH COVID 19 TESTING LABORATORY,Private,GeneXpert,32,24 hours,7 days with holidays,24 hours,5pm,96,96,Average/Manageable,number of active cases,No Extraction Machine,VTM,,40,n/a,,,,,,,,1,,,,Cepheid GeneXpert,Four placer,4,45,1100,completely filled up CIF,,Kenneth Crisostomo,,,,,,,,,,,,,,
3/29/2021 15:01:07,batmcmolecularlab@gmail.com,IV-A,Batangas,Batangas City,Batangas Medical Center Molecular Diagnostics Laboratory (RT-PCR),DOH Owned,RT-PCR,Batangas Province,8 hours,5 days with holidays,72 hours,12 noon for public and private referrals,180,50-150,Increase,The surge in positive cases and contact tracing activities,2,VTM,N/A,50-150,Maccura Mag-Bind RNA Extraction Kit,50-150,180,50-150,50-150,180,50-150,Increase in the number of samples submitted per day especially from public and private referrals,2,50-150,180,50-150,N/A,N/A,N/A,N/A,N/A,"Coordination with our laboratory and submission of the following:
-Laboratory Request Form
-Case Investigation Form
-Members Data Record from PhilHealth
-Laboratory Receiving Form (Line list)",We currently have 5 Analysts and 4 Encoders only,Patricia Mae U. Macalalad,09152723871,,,,,,,,,,,,,
3/29/2021 15:06:16,lagunamolecularlaboratory@gmail.com,IV-A,Laguna,San Pablo City,Laguna Provincial Hospital - San Pablo City District Hospital,LGU Owned,RT-PCR,Laguna - 180,12 hours,7 days with holidays,48 hours,4:00pm,180,180,Increase,Increased positive cases,No Extraction Machine,Sansure SSR,180,0,N/A,N/A,N/A,N/A,4 kits x 48's,180,180,,1,9 kits x 24's,180,180,,,,,,"Lab request form, CIF",,Maria Rhea C. Barrion,09516909328,,,,,,,,,,,,,
3/29/2021 15:09:12,cmdlservices.uplb@up.edu.ph,IV-A,LAGUNA,LOS BANOS,UPLB COVID-19 Molecular Diagnostic Laboratory,Other Government Agency,RT-PCR,Laguna - 100 to 160,16 hours,5 days,48 hours,1 pm,180,80-160,Average/Manageable,repeat samples due to late amplification in current lot in sansure kit; slow internet connection,No Extraction Machine,No extraction machine,We don't use Sansure SSR,80 (Some RHUs do not request for replacement VTMs because they have their own supply),No extraction machine,NONE,None,None,180 tests,180,100-160,repeats due to late amplification (current sansure lot),3,200,180,160,"Cepheid GeneXpert, none",none,3,n.a,n/a,complete linelist and propely filled out CIF,,Maria Genaleen Q. Diaz,09176456265,,,,,,,,,,,,,
3/29/2021 15:09:34,zapduranrmt@gmail.com,NCR,Metro Manila,Manila City,Chinese General Hospital and Medical Center,Private,RT-PCR and GeneXpert,Manila -,24 hours,"7 days, 7 days with holidays",48 hours,N/A,1500,1000,Average/Manageable,N/A,2,VTM,,1200,,20,1000,1000,,,,,2,50,1000,100,Biofire,,2,,,,,Zenith Duran,09158713651,,,,,,,,,,,,,
3/29/2021 15:13:00,jbtywayanmolecular2020@gmail.com,VI,NEGROS OCCIDENTAL,BACOLOD CITY,BACOLOD QUEEN OF MERCY HOSPITAL-MOLECULAR LABORATORY,Private,RT-PCR,BACOLOD CITY - 47,16 hours,7 days,24 hours,12NOON,252,50,Average/Manageable,variation in number of patients or samples received per day.,No Extraction Machine,no extraction machine.,average of 100,average of 50,no extraction machine.,n/a,n/a,n/a,50,252,50,variation in number of patients or samples received per day.,2,average of 50,252,50,n/a,n/a,n/a,n/a,n/a,"2 SSR will be used per patient: 1 with NPS, the other with OPS. Transported within 2-6Deg C.",,"JEZREEL B. TERUEL-YWAYAN, RMT",09231531678,,,,,,,,,,,,,
3/29/2021 15:16:50,omphlabsarscov2@gmail.com,IV-B,ORIENTAL MINDORO,Calapan City,Oriental Mindoro Provincial Hospital,Other Government Agency,GeneXpert,We are the catchment facility for the entirety of the province,8 hours,"6 days, 6 days with holidays",24 hours,2:00pm,172,5-10,Decrease,No cartridge available,No Extraction Machine,VTM,N/A,10-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,Cepheid GeneXpert,"Four placer, Sixteen placer",22,172,3784,"Completely filled up CIF with lab request, philhealth number/pmrf/mdr",We are hoping that we will be given cartridges once it is available from the DOH,Maria Theresa M. Yaco,09278277902,,,,,,,,,,,,,
